alim_nom_fr,alim_code,kcal,proteins,carbohydrates,lipids,alim_nom_eng,kcal_control
Dessert (aliment moyen),24999,0,4.63,36.6,12.9,Desert (average),281.02000000000004
Salade de thon et légumes; appertisée,25601,0,9.15,7.74,4.7,Prepared mixed tuna and vegetable salad; canned,109.86000000000001
Salade composée avec viande ou poisson; appertisée,25602,0,8.06,6.4,5.3,Prepared mixed meat/fish canned; salad,105.53999999999999
Champignons à la grecque; appertisés,25605,0,2.08,3.95,3.55,Greek-style marinated mushrooms; prepacked,56.07
Salade de pommes de terre; fait maison,25606,0,2.68,9.9,8.2,Prepared potatoes salad; home-made,124.12
Taboulé ou Salade de couscous; préemballé,25608,179,4.88,23.7,6.7,Tabbouleh; prepacked,179
Salade de pomme de terre à la piémontaise; préemballée,25609,130,4.5,8.87,8.3,Potato salad; piémontaise-style; prepacked,130
Salade de riz; appertisée,25614,0,5.13,16.1,4.35,Prepared rice salad; canned,124.07
Salade de pâtes; végétarienne,25615,0,5.7,13.7,8.1,Prepared pasta salad; vegetarian,150.5
Crudité; sans assaisonnement (aliment moyen),25616,29.9,0.94,3.07,0.7,Salad; vegetable; without dressing (average),29.9
Salade de pâtes aux légumes; avec poisson ou viande; préemballée,25619,0,5.19,14,9.94,Prepared pasta salad; with vegetable; meat or fish; prepacked,166.22
Macédoine de légumes en salade; avec sauce; préemballée,25626,0,2.81,7,9.3,Mixed diced vegetables salad; w sauce; prepacked,122.94
Salade César au poulet (salade verte; fromage; croûtons; sauce); préemballée,25628,0,8.13,4.88,10,Caesar's salad (salad; chicken; croûtons; sauce); prepacked,142.04000000000002
Salade végétale à base de boulgour et/ou quinoa et légumes; préemballée,25629,168,3.79,17.4,8.3,Salad; veggie; bulgur and/or quinoa-based; with vegetables; prepacked,168
Carottes râpées; avec sauce; préemballées,26257,0,0.98,6.01,5,Grated carrots; w sauce; prepacked,72.96000000000001
Salade de betterave; avec sauce; préemballée,26258,0,1.29,7.45,4.94,Beetroot salad; w sauce; prepacked,79.42
Salade de chou ou Coleslaw; avec sauce; préemballée,26259,105,0.94,5.78,8.1,Coleslaw; w sauce; prepacked,105
Salade de concombre à la crème/fromage blanc; préemballée,26260,0,1.1,1.97,11.3,Cucumber salad; w fresh cream cheese sauce; prepacked,113.98
Salade de lentilles et saucisse fumée; préemballée,26261,0,7,8.9,11.8,Lentil salad w smoked sausage; prepacked,169.8
Salade grecque; avec sauce; préemballée,26262,0,2,1.4,7.1,Greec salad; w sauce; prepacked,77.5
Salade de riz à la niçoise; avec sauce; préemballée,26263,0,4.45,15.8,6.08,Rice salad; nicoise style; w sauce; prepacked,135.72
Taboulé ou Salade de couscous au poulet; préemballé,26269,0,6.4,20.6,7.45,Tabbouleh with chicken; prepacked,175.05
Soupe aux lentilles; préemballée à réchauffer,25900,55,3.74,6.6,1.12,Soup; lentils; prepacked; to be reheated,55
Soupe à la volaille et aux légumes; préemballée à réchauffer,25901,30.8,3.09,2.6,0.8,Soup; chicken and vegetables; prepacked; to be reheated,30.8
Soupe aux légumes variés; préemballée à réchauffer,25903,39.4,0.76,5.05,1.56,Soup; mixed vegetables; prepacked; to be reheated,39.4
Soupe de poissons et / ou crustacés; préemballée à réchauffer,25904,42.8,3.45,2.88,1.79,Soup; fish and/or crustacean; prepacked; to be reheated,42.8
Soupe aux légumes variés; déshydratée reconstituée,25905,34.5,0.86,4.43,1.22,Soup; mixed vegetables; dehydrated and reconstituted,34.5
